Dialogue,Manipulative
"Person1: No.
Person2: Well you're probably right about that. It certainly can't help Sister Agnes to have this investigation continued for any length of time.
Person1: Why do you call it an investigation? I never have.
Person2: Your mother was a resident of Saint Catherines home before you moved her.
Person1: What does this have to do with..?",0
"Person1: You, sister...
Person2: Look at the trouble you've caused. Now you know what Giang Hu life is really like.  If you think of me as your sister, let me give you some sisterly advice.  You can run from marriage, but not your parents.
Person1: They forced me to marry!
Person2: Go back to them first.  Then you can decide about Lo.
Person1: You know about Lo?
Person2: He really loves you.  Come back to Peking with me.  We'll find a solution.
Person1: Where is he now?
Person2: Li Mu Bai has made arrangements. He sent him to Wudan Mountain.
Person1: You're working together to set me up!  I'm leaving!
Person2: How dare you accuse us?  I always knew you had stolen the sword! I've done nothing but protect you and your family.  And you're repaid me with nothing but contempt.  Li Mu Bai himself spared you, and all you do is insult him.  We wanted some peace and you've ruined it all! You're no sister of mine!
Person1: What do I care?  You were never a real friend anyway.  But I wonder, how long could you last as my enemy?",1
"Person1: What time are visiting hours?
Person2: I've made arrangements with Dr. Gynde for 10:30. But Jeffrey, you'll have to walk over; I need the car this morning.
Person1: Well. Okay.
Person2: Jeffrey, when you see your father.
Person1: Yeah?
Person2: He doesn't know you're out of school. He thinks it's a vacation for you.
Person1: What?
Person2: It would be too much for him. So please let him think as he does, that you're home just to see him.
Person1: Thanks a lot, Mom.
Person2: .Jeffrey!. Nobody wanted you to leave school and go to work in the store. maybe going back to school will be an option one day. I hope so.",1
"Person1: C'mon, you two... Jacques, we have to get ready for the ceremony tonight.  We have a new world champion.
Person2: I'm a little tired, I don't know if...
Person1: Get in the car!",1
"Person1: Please don't cry. Please, honey.
Person2: What are you sorry for?
Person1: I don't know. For the food business. I guess. I just thought, you know, we'd sneak a Big Mac on Mommy, like we used to.
Person2: I want to go home.
Person1: You can't.",0
"Person1: I want you to come home with me right now, Jody.
Person2: Who is she?
Person1: She's nobody you should be concerned with.
Person2: Whoever tried to kill me was made up to look exactly like this picture of Lisa Sherman, clothes and all. I think that concerns me.
Person1: Don't make me order you.",1
"Person1: You dropped a glass.
Person2: I...
Person1: A cheap wine glass from the caterers.  You started crying.  I tried to comfort you...
Person2: In the living room...
Person1: You shoved me away and ran out to the patio.  I took you home.
Person2: But why?  I can't understand how I could just completely--
Person1: It was maybe a week after the accident. We were moving.  It was a hard time.
Person2: But I don't remember.
Person1: Sweetheart, it was over a year ago.
Person2: What's wrong with me?",1
"Person1: Where are we?
Person2: Where are we? You know where we are. It's called the beach. It's where life first crawled up out of the sea. I come here sometimes... when I feel like crawling back in.
Person1: You don't have to do this.
Person2: Do what, show you a good time?
Person1: I'm not good company. I should be alone.
Person2: I don't think so, but if that's what you want...",0
"Person1: Not that much appreciation. I thought we were gonna tone down that flabby ass.
Person2: Hey, I'm so sorry I'm not the stud that you are.",1
"Person1: What are you listening to, chicken ass?
Person2: Ah, leave him alone.  He's doing no harm.
Person1: With a face like that?  I don't want you looking at me.  You hear?",1
"Person1: Look, I'm just on this boat, okay? I'm an engineer.  Whatever this is, it's not for me to be involved, okay?
Person2: I don't remember Zurich.",0
"Person1: I know why most of you are here. We're not stupid. But before you get to sell what we teach you over at United Airlines, you gotta give the Navy six years of your life, Sweet Pea. Lot of things can happen in six year. Another war could come up in six years. If you're too peaceful a person to dump napalm on an enemy village where there might be women and children, I'm gonna find that out. Understand?
Person2: Yes, sir!",0
"Person1: I'm married, George.  Me.  I can't believe it.  Can you believe I'm married, George?
Person2: You're a lucky man, Diego.
Person1: I love you, my brother, do you know that?
Person2: I love you too, man.",0
"Person1: You realize, Sal, that we're gonna get outta the country, so if you wanna talk to somebody, do it now ... You gotta Mother or a Father? Friends?  If we gotta be outside the country, where do you wanna go?  Any country. Just name a country.
Person2: Wyoming.
Person1: Wyoming ... That's not out of the country -- that's in the United States ... Look, I'll be back.",0
"Person1: Oh you know, for a minute I thought it was --
Person2: Paul? Yeah. You think --",0
